Run,Time to reach center
1.0,190.0
2.0,1030.0
3.0,410.0
4.0,2650.0
5.0,
6.0,550.0
7.0,3590.0
8.0,280.0
9.0,190.0
10.0,250.0
11.0,390.0
12.0,1050.0
13.0,
14.0,2390.0
15.0,780.0
16.0,1590.0
17.0,530.0
18.0,1490.0
19.0,710.0
20.0,360.0
21.0,430.0
22.0,
23.0,860.0
24.0,620.0
25.0,630.0
26.0,510.0
27.0,440.0
28.0,640.0
29.0,390.0
30.0,170.0
31.0,640.0
32.0,850.0
33.0,980.0
34.0,900.0
35.0,2510.0
36.0,480.0
37.0,410.0
38.0,
39.0,
40.0,730.0
41.0,2510.0
42.0,480.0
43.0,
44.0,280.0
45.0,1400.0
46.0,460.0
47.0,
48.0,400.0
49.0,1160.0
50.0,730.0
51.0,330.0
52.0,310.0
53.0,1010.0
54.0,3570.0
55.0,510.0
56.0,230.0
57.0,490.0
58.0,250.0
59.0,250.0
60.0,680.0
61.0,2330.0
62.0,730.0
63.0,520.0
64.0,1490.0
65.0,1330.0
66.0,2030.0
67.0,230.0
68.0,830.0
69.0,380.0
70.0,210.0
71.0,
72.0,760.0
73.0,790.0
74.0,1640.0
75.0,200.0
76.0,750.0
77.0,460.0
78.0,370.0
79.0,260.0
80.0,240.0
81.0,210.0
82.0,1430.0
83.0,250.0
84.0,
85.0,5230.0
86.0,380.0
87.0,480.0
88.0,5510.0
89.0,540.0
90.0,200.0
91.0,220.0
92.0,400.0
93.0,490.0
94.0,980.0
95.0,
96.0,
97.0,240.0
98.0,720.0
99.0,360.0
100.0,1320.0
