time,x,y,z
0.0000,-12.0000,0.0000,0.0000
10.0000,-12.1166,-0.0771,-0.0726
20.0000,-12.0567,-0.0495,-0.0561
30.0000,-12.0788,-0.0415,-0.1259
40.0000,-12.1372,-0.0446,-0.0764
50.0000,-12.1286,-0.1559,0.0547
60.0000,-12.1245,-0.1966,0.0332
70.0000,-12.1717,-0.1447,0.0589
80.0000,-12.1778,-0.0615,0.0733
90.0000,-12.2202,-0.0609,0.0477
100.0000,-12.1624,0.0001,-0.0089
110.0000,-12.1427,-0.0112,0.0566
120.0000,-12.1881,0.0284,0.0641
130.0000,-12.2073,0.0047,0.1506
140.0000,-12.0731,-0.0416,0.2039
150.0000,-12.0678,-0.0882,0.1761
160.0000,-12.0208,-0.0662,0.1477
170.0000,-11.9936,-0.0587,0.1355
180.0000,-11.9560,-0.1006,0.0968
190.0000,-12.0075,-0.1414,0.0755
200.0000,-11.9334,-0.1388,0.0769
210.0000,-11.9319,-0.0860,0.1023
220.0000,-11.9892,-0.1060,0.1081
230.0000,-11.9639,-0.1009,0.1222
240.0000,-11.8772,-0.1269,0.0893
250.0000,-11.7846,-0.0737,0.0582
260.0000,-11.7832,-0.0587,0.1619
270.0000,-11.7964,-0.0522,0.2332
280.0000,-11.7256,-0.0136,0.2359
290.0000,-11.7530,-0.0404,0.2068
300.0000,-11.7081,-0.1158,0.2191
310.0000,-11.6808,-0.0405,0.1995
320.0000,-11.6974,0.0581,0.1869
330.0000,-11.7738,0.1895,0.1829
340.0000,-11.5219,0.2018,0.1719
350.0000,-11.2893,0.2127,0.1648
360.0000,-11.0643,0.1880,0.1797
370.0000,-10.9671,0.1931,0.1510
380.0000,-11.0322,0.1476,0.1092
390.0000,-11.0609,0.1152,0.1029
400.0000,-11.0974,0.1198,0.1247
410.0000,-11.1045,0.1429,0.1644
420.0000,-11.1070,0.1776,0.1582
430.0000,-11.0723,0.1873,0.1373
440.0000,-11.0549,0.2027,0.1484
450.0000,-11.0212,0.1863,0.1627
460.0000,-11.0778,0.2014,0.1442
470.0000,-11.1189,0.1866,0.1142
480.0000,-11.1103,0.2296,0.1164
490.0000,-11.0805,0.2215,0.1310
500.0000,-10.9974,0.2401,0.1084
510.0000,-10.8133,0.2057,0.1595
520.0000,-10.8866,0.1929,0.1582
530.0000,-10.9983,0.2485,0.0509
540.0000,-10.9934,0.2254,0.0641
550.0000,-10.9897,0.2263,0.0576
560.0000,-11.0165,0.2210,0.0645
570.0000,-11.0208,0.1197,0.0721
580.0000,-10.9331,0.1085,0.0646
590.0000,-10.9628,0.1383,-0.0223
600.0000,-10.9512,0.1070,0.0381
610.0000,-10.9223,0.1500,0.0539
620.0000,-10.9120,0.2054,0.1420
630.0000,-10.8663,0.2052,0.1598
640.0000,-11.0599,0.1385,0.1198
650.0000,-11.1065,0.0906,0.0940
660.0000,-11.1354,0.0762,0.0454
670.0000,-11.2374,0.0282,0.0754
680.0000,-11.3301,0.0798,0.1017
690.0000,-11.3936,0.0274,0.0985
700.0000,-11.3894,-0.0324,0.1076
710.0000,-11.3942,-0.0802,0.1221
720.0000,-11.4476,-0.1138,0.0857
730.0000,-11.4992,-0.1771,0.1064
740.0000,-11.4418,-0.1691,0.1473
750.0000,-11.4312,-0.1464,0.1017
760.0000,-11.4235,-0.1448,0.0757
770.0000,-11.3560,-0.1521,0.0946
780.0000,-11.3321,-0.1123,0.1742
790.0000,-11.2999,-0.1369,0.1793
800.0000,-11.2399,-0.0574,0.2096
810.0000,-11.2284,0.0445,0.2590
820.0000,-11.1766,0.1965,0.1706
830.0000,-10.9316,0.2389,0.0871
840.0000,-10.8035,0.2461,0.0335
850.0000,-10.5322,0.2473,0.0476
860.0000,-10.4358,0.2212,0.0460
870.0000,-10.3976,0.1630,0.0280
880.0000,-10.2916,0.2010,0.0981
890.0000,-10.2778,0.1740,0.1143
900.0000,-10.2999,0.1482,0.1207
910.0000,-10.2473,0.0315,0.1335
920.0000,-10.3095,-0.0124,0.1607
930.0000,-10.3537,-0.0636,0.1921
940.0000,-10.3148,-0.0966,0.1960
950.0000,-10.2917,-0.1019,0.2231
960.0000,-10.2293,-0.0321,0.2013
970.0000,-10.2303,-0.0166,0.1309
980.0000,-10.1809,-0.0013,0.1821
990.0000,-10.0968,0.1408,0.2184
1000.0000,-10.0417,0.2287,0.1116
1010.0000,-9.9106,0.2555,-0.0176
1020.0000,-9.7318,0.2519,0.0448
1030.0000,-9.5133,0.2571,-0.0059
1040.0000,-9.3309,0.2570,0.0043
1050.0000,-9.0825,0.2466,0.0670
1060.0000,-8.8764,0.2476,0.0634
1070.0000,-8.6245,0.2434,0.0873
1080.0000,-8.3277,0.2372,0.0842
1090.0000,-8.0369,0.2384,0.0929
1100.0000,-7.7759,0.2128,0.1327
1110.0000,-7.7966,0.1916,0.0137
1120.0000,-7.7881,0.1854,-0.0528
1130.0000,-7.8198,0.1591,-0.0363
1140.0000,-7.8047,0.1674,0.0072
1150.0000,-7.7794,0.2065,-0.0237
1160.0000,-7.7477,0.1733,0.0596
1170.0000,-7.7385,0.1845,0.1523
1180.0000,-7.7118,0.2329,0.1153
1190.0000,-7.7695,0.2458,0.0582
1200.0000,-7.7994,0.1358,0.1056
1210.0000,-7.8256,0.1821,0.1316
1220.0000,-7.8648,0.2026,0.0708
1230.0000,-7.9449,0.1339,0.1128
1240.0000,-8.0286,0.1535,0.0996
1250.0000,-8.1215,0.1938,-0.0159
1260.0000,-8.1468,0.2296,0.0090
1270.0000,-8.0567,0.2354,0.0950
1280.0000,-7.9957,0.2234,0.0829
1290.0000,-7.9116,0.2469,0.0663
1300.0000,-7.9172,0.2527,0.0433
1310.0000,-7.7021,0.2420,0.0863
1320.0000,-7.4663,0.2331,0.0588
1330.0000,-7.5111,0.2341,0.0587
1340.0000,-7.5323,0.2310,0.1124
1350.0000,-7.5545,0.1572,0.2025
1360.0000,-7.4648,0.1345,0.1932
1370.0000,-7.5172,0.0739,0.0675
1380.0000,-7.4765,0.0877,0.0421
1390.0000,-7.4883,0.1069,0.0468
1400.0000,-7.6354,0.1125,0.0466
1410.0000,-7.6423,0.0448,0.0286
1420.0000,-7.6044,0.0519,0.0143
1430.0000,-7.6032,0.0608,0.0761
1440.0000,-7.6066,0.0886,0.0666
1450.0000,-7.5592,0.0646,0.1299
1460.0000,-7.5366,0.1030,0.2169
1470.0000,-7.6045,0.1121,0.2278
1480.0000,-7.6432,0.1405,0.1864
1490.0000,-7.7467,0.1649,0.1676
1500.0000,-7.6874,0.2001,0.1245
1510.0000,-7.5800,0.2044,0.0893
1520.0000,-7.5825,0.2257,0.1096
1530.0000,-7.5996,0.2205,0.1176
1540.0000,-7.5690,0.2370,0.0941
1550.0000,-7.5503,0.2551,-0.0069
1560.0000,-7.4556,0.2222,-0.0791
1570.0000,-7.3593,0.1765,-0.0926
1580.0000,-7.3264,0.1300,-0.1314
1590.0000,-7.3235,0.2345,-0.0953
1600.0000,-7.3140,0.2226,-0.1228
1610.0000,-7.2976,0.1847,-0.1176
1620.0000,-7.2937,0.2089,-0.1414
1630.0000,-7.1458,0.1987,-0.1221
1640.0000,-7.0428,0.2126,-0.1372
1650.0000,-6.8880,0.2435,-0.0749
1660.0000,-6.7069,0.2472,-0.0587
1670.0000,-6.5584,0.2551,-0.0388
1680.0000,-6.2942,0.2471,0.0635
1690.0000,-6.0754,0.2425,0.0705
1700.0000,-5.8591,0.2478,0.0753
1710.0000,-5.6720,0.2470,0.0537
1720.0000,-5.6411,0.2556,0.0204
1730.0000,-5.5527,0.2398,0.0730
1740.0000,-5.5399,0.2430,0.0734
1750.0000,-5.5485,0.2185,0.0942
1760.0000,-5.4787,0.2204,0.1220
1770.0000,-5.4391,0.2098,0.0285
1780.0000,-5.4158,0.2608,-0.0303
1790.0000,-5.3989,0.2541,0.0004
1800.0000,-5.3332,0.2292,0.0147
1810.0000,-5.3818,0.1981,-0.0012
1820.0000,-5.3886,0.2455,-0.0016
1830.0000,-5.3572,0.1919,0.0632
1840.0000,-5.2771,0.2495,0.0743
1850.0000,-5.2175,0.2462,0.0683
1860.0000,-5.1304,0.2354,0.0844
1870.0000,-5.1272,0.2267,0.1020
1880.0000,-5.0785,0.1852,0.1248
1890.0000,-4.9900,0.2081,0.1177
1900.0000,-5.0296,0.1214,0.0849
1910.0000,-5.0930,0.1009,0.1328
1920.0000,-5.0403,0.0740,0.1575
1930.0000,-5.0272,-0.0728,0.1390
1940.0000,-5.1211,-0.0660,0.1963
1950.0000,-5.1296,-0.1695,0.1949
1960.0000,-5.1002,-0.1885,0.1643
1970.0000,-5.1122,-0.1849,0.1354
1980.0000,-5.0486,-0.1938,0.1540
1990.0000,-4.9533,-0.1559,0.1473
2000.0000,-4.8593,-0.1104,0.0925
2010.0000,-4.7274,-0.0973,0.0453
2020.0000,-4.6313,-0.1002,0.0951
2030.0000,-4.4924,0.0081,0.0874
2040.0000,-4.2531,0.1074,0.1206
2050.0000,-4.0575,0.1669,0.1869
2060.0000,-3.7725,0.1768,0.1796
2070.0000,-3.5688,0.2310,0.1027
2080.0000,-3.3580,0.2082,0.1427
2090.0000,-3.1349,0.1255,0.2127
2100.0000,-2.9839,0.1111,0.2169
2110.0000,-2.7378,0.1644,0.1916
2120.0000,-2.5287,0.1867,0.1053
2130.0000,-2.3346,0.2210,0.1333
2140.0000,-2.1594,0.1883,0.1064
2150.0000,-2.0110,0.2381,0.0503
2160.0000,-1.7726,0.2218,0.1247
2170.0000,-1.5771,0.2072,0.0553
2180.0000,-1.3079,0.2466,0.0207
2190.0000,-1.0845,0.2180,0.0760
2200.0000,-0.9000,0.2132,0.0764
2210.0000,-0.6364,0.2251,0.1107
2220.0000,-0.3420,0.2195,0.0638
2230.0000,-0.1096,0.2203,0.1141
2240.0000,0.0350,0.1881,0.1162
2250.0000,0.2662,0.2370,0.1003
2260.0000,0.5436,0.2292,0.1204
2270.0000,0.6903,0.1905,0.1725
2280.0000,0.8871,0.1791,0.1772
2290.0000,1.0562,0.2184,0.1335
2300.0000,1.2098,0.2370,0.0650
2310.0000,1.3854,0.2424,0.0511
2320.0000,1.5634,0.2440,0.0787
2330.0000,1.7371,0.2442,0.0424
2340.0000,1.8848,0.2501,0.0100
2350.0000,2.0992,0.2097,-0.0711
