Config,mean,var,std
14_1,nan,nan,nan
14_16,565.2,691726.9600000003,831.7012444381699
14_2,nan,nan,nan
14_4,690.4,559899.8399999999,748.2645521471667
14_8,534.6,338050.8399999999,581.421396235123
28_1,nan,nan,nan
28_16,1040.4,496905.84,704.9154842958126
28_2,nan,nan,nan
28_4,1591.9,1064157.39,1031.5800453672996
28_8,1335.7,1014028.51,1006.9898261650909
7_1,nan,nan,nan
7_16,461.8,1210952.7599999998,1100.4329875099163
7_2,nan,nan,nan
7_4,253.0,460213.0,678.3900058226094
7_8,267.9,227330.59,476.7919777009676
