time,x,y,z
0.0000,-12.0000,0.0000,0.0000
10.0000,-12.0310,-0.0350,-0.0157
20.0000,-11.9659,-0.0061,0.0303
30.0000,-11.6880,0.0824,0.1465
40.0000,-11.3210,0.1489,0.2126
50.0000,-10.9868,0.1540,0.2405
60.0000,-10.7122,0.1400,0.2529
70.0000,-10.5079,0.0863,0.2718
80.0000,-10.2681,0.0854,0.2594
90.0000,-10.0741,0.0380,0.2605
100.0000,-9.8467,0.0086,0.2478
110.0000,-9.5653,0.0076,0.2262
120.0000,-9.3183,0.1517,0.2151
130.0000,-9.0575,0.2343,0.1072
140.0000,-8.8091,0.2480,0.0019
150.0000,-8.5892,0.2293,-0.0892
160.0000,-8.2823,0.1674,-0.1378
170.0000,-8.0811,0.2434,-0.0946
180.0000,-7.8282,0.2557,-0.0226
190.0000,-7.6206,0.2206,-0.0571
200.0000,-7.4065,0.1309,-0.0990
210.0000,-7.2029,0.0819,-0.1725
220.0000,-6.9770,0.0206,-0.2243
230.0000,-6.8076,-0.0451,-0.2516
240.0000,-6.5837,-0.0903,-0.2486
250.0000,-6.4214,-0.1155,-0.2344
260.0000,-6.3011,-0.1055,-0.1737
270.0000,-6.1984,-0.1926,-0.1254
280.0000,-6.0740,-0.2493,-0.0386
290.0000,-5.9135,-0.2635,0.0149
300.0000,-5.7909,-0.2557,0.0212
310.0000,-5.7511,-0.2549,-0.0039
320.0000,-5.6739,-0.2572,-0.0448
330.0000,-5.6420,-0.2608,-0.0665
340.0000,-5.5852,-0.2515,-0.0815
350.0000,-5.4882,-0.2440,-0.1068
360.0000,-5.4377,-0.2172,-0.1323
370.0000,-5.4210,-0.2246,-0.1053
380.0000,-5.4150,-0.2426,-0.0593
390.0000,-5.4092,-0.2505,-0.0612
400.0000,-5.3534,-0.2320,-0.0235
410.0000,-5.3350,-0.2196,-0.0035
420.0000,-5.2717,-0.2124,-0.0231
430.0000,-5.2456,-0.1846,0.0127
440.0000,-5.1837,-0.1671,0.0129
450.0000,-5.1284,-0.1694,-0.0100
460.0000,-5.1122,-0.1665,-0.0154
470.0000,-5.0621,-0.2197,-0.0538
480.0000,-5.0343,-0.2020,-0.1185
490.0000,-4.9263,-0.2181,-0.1025
500.0000,-4.8261,-0.2115,-0.0711
510.0000,-4.7444,-0.2238,-0.0892
520.0000,-4.5965,-0.2364,-0.0905
530.0000,-4.4578,-0.2175,-0.0813
540.0000,-4.3229,-0.1510,-0.0978
550.0000,-4.1806,-0.1453,-0.1083
560.0000,-4.0909,-0.1600,-0.0573
570.0000,-4.0142,-0.1417,-0.0667
580.0000,-3.9815,-0.1320,-0.0351
590.0000,-3.9400,-0.1401,-0.0012
600.0000,-3.9389,-0.1943,0.0128
610.0000,-3.9133,-0.1930,0.0055
620.0000,-3.8442,-0.1833,0.0132
630.0000,-3.8093,-0.1408,-0.0163
640.0000,-3.8071,-0.0568,0.0205
650.0000,-3.8201,-0.0374,0.0410
660.0000,-3.8115,-0.0598,0.0513
670.0000,-3.7700,-0.0390,0.0232
680.0000,-3.7685,-0.0477,-0.0154
690.0000,-3.7760,-0.0686,-0.0111
700.0000,-3.7806,-0.0564,0.0066
710.0000,-3.7206,-0.0743,0.0186
720.0000,-3.6626,-0.0681,-0.0617
730.0000,-3.6201,-0.0136,-0.0587
740.0000,-3.5434,0.0182,-0.0655
750.0000,-3.5761,0.0135,-0.0445
760.0000,-3.5765,0.0067,-0.0234
770.0000,-3.5147,0.0005,-0.0188
780.0000,-3.4851,0.0079,-0.0345
790.0000,-3.4570,0.0295,-0.0230
