Run,Time to reach center
1.0,780.0
2.0,1050.0
3.0,1130.0
4.0,830.0
5.0,680.0
6.0,610.0
7.0,640.0
8.0,670.0
9.0,820.0
10.0,460.0
11.0,690.0
12.0,970.0
13.0,1270.0
14.0,740.0
15.0,730.0
16.0,610.0
17.0,680.0
18.0,1030.0
19.0,490.0
20.0,1390.0
21.0,590.0
22.0,1110.0
23.0,450.0
24.0,1020.0
25.0,960.0
26.0,1220.0
27.0,1270.0
28.0,620.0
29.0,850.0
30.0,460.0
31.0,760.0
32.0,460.0
33.0,880.0
34.0,910.0
35.0,650.0
36.0,1320.0
37.0,1040.0
38.0,1100.0
39.0,1470.0
40.0,1680.0
41.0,630.0
42.0,680.0
43.0,690.0
44.0,600.0
45.0,1220.0
46.0,660.0
47.0,430.0
48.0,900.0
49.0,1190.0
50.0,700.0
51.0,1480.0
52.0,980.0
53.0,690.0
54.0,590.0
55.0,890.0
56.0,1180.0
57.0,1250.0
58.0,640.0
59.0,490.0
60.0,590.0
61.0,1020.0
62.0,770.0
63.0,870.0
64.0,800.0
65.0,1130.0
66.0,480.0
67.0,400.0
68.0,1110.0
69.0,940.0
70.0,860.0
71.0,840.0
72.0,2110.0
73.0,980.0
74.0,690.0
75.0,1110.0
76.0,680.0
77.0,990.0
78.0,2740.0
79.0,1280.0
80.0,590.0
81.0,620.0
82.0,750.0
83.0,570.0
84.0,1090.0
85.0,460.0
86.0,1620.0
87.0,1160.0
88.0,1680.0
89.0,1210.0
90.0,1090.0
91.0,1010.0
92.0,680.0
93.0,750.0
94.0,590.0
95.0,950.0
96.0,810.0
97.0,700.0
98.0,1160.0
99.0,770.0
100.0,1740.0
