time,x,y,z
0.0000,-12.0000,0.0000,0.0000
10.0000,-12.2339,-0.2140,-0.1156
20.0000,-12.2426,-0.1733,-0.0826
30.0000,-12.1705,-0.2363,-0.0694
40.0000,-12.1962,-0.2061,-0.0355
50.0000,-12.1549,-0.1564,-0.1754
60.0000,-12.1411,-0.2227,-0.1529
70.0000,-12.0745,-0.1991,-0.1223
80.0000,-11.8647,-0.1599,-0.1621
90.0000,-11.6889,-0.1186,-0.2064
100.0000,-11.4993,-0.1691,-0.1134
110.0000,-11.3503,-0.1592,-0.0907
120.0000,-11.2152,-0.1720,0.0018
130.0000,-11.0364,-0.2087,0.0516
140.0000,-10.9186,-0.1977,0.1023
150.0000,-10.8058,-0.1679,0.1372
160.0000,-10.6424,-0.1410,0.1723
170.0000,-10.4724,-0.1338,0.1036
180.0000,-10.3169,-0.0997,0.0911
190.0000,-10.0801,-0.0348,0.2047
200.0000,-9.9313,0.0504,0.2124
210.0000,-9.8140,0.1362,0.2434
220.0000,-9.6836,0.1607,0.1749
230.0000,-9.5613,0.2240,0.1778
240.0000,-9.4533,0.2640,0.2270
250.0000,-9.3008,0.3125,0.2683
260.0000,-9.2184,0.4038,0.2462
270.0000,-9.0975,0.4033,0.2386
280.0000,-8.9610,0.4431,0.2145
290.0000,-8.8538,0.5032,0.1159
300.0000,-8.7928,0.5836,0.1854
310.0000,-8.7392,0.6454,0.1291
320.0000,-8.6638,0.7165,0.2538
330.0000,-8.5855,0.7920,0.2965
340.0000,-8.5605,0.8556,0.2948
350.0000,-8.4723,0.8934,0.1611
360.0000,-8.4239,0.9206,0.0298
370.0000,-8.3714,0.9290,-0.0590
380.0000,-8.3074,0.9695,-0.1152
390.0000,-8.3476,0.9425,-0.2282
400.0000,-8.3394,0.9477,-0.3196
410.0000,-8.3791,1.0327,-0.3212
420.0000,-8.4014,0.9878,-0.4209
430.0000,-8.4661,1.0221,-0.4884
440.0000,-8.5047,1.0443,-0.5352
450.0000,-8.5410,1.0488,-0.5879
460.0000,-8.4879,1.0442,-0.5665
470.0000,-8.5597,1.1258,-0.5856
480.0000,-8.6251,1.0924,-0.6298
490.0000,-8.6390,1.0823,-0.6606
500.0000,-8.6087,1.0657,-0.6650
510.0000,-8.6143,1.0222,-0.6609
520.0000,-8.6568,1.0161,-0.6840
530.0000,-8.7081,0.9844,-0.7321
540.0000,-8.6694,0.9436,-0.8204
550.0000,-8.5741,0.9741,-0.8220
560.0000,-8.6397,0.9869,-0.8103
570.0000,-8.6894,0.9481,-0.8252
580.0000,-8.7525,1.0018,-0.8312
590.0000,-8.7922,0.9912,-0.7305
600.0000,-8.9017,0.9989,-0.8034
610.0000,-9.0560,0.9430,-0.8329
620.0000,-9.2216,0.9774,-0.9004
630.0000,-9.3085,0.9846,-0.8934
640.0000,-9.3676,0.9720,-0.9014
650.0000,-9.4129,0.9505,-0.8886
660.0000,-9.3703,0.9389,-0.8685
670.0000,-9.4056,0.9200,-0.8565
680.0000,-9.3937,0.9034,-0.9299
690.0000,-9.3440,0.9101,-0.9248
700.0000,-9.2560,0.9089,-0.9391
710.0000,-9.2802,0.8968,-0.9665
