Run,Time to reach center
1.0,1420.0
2.0,880.0
3.0,120.0
4.0,110.0
5.0,290.0
6.0,3000.0
7.0,3730.0
8.0,330.0
9.0,2780.0
10.0,660.0
11.0,1110.0
12.0,2300.0
13.0,490.0
14.0,1140.0
15.0,
16.0,10.0
17.0,6800.0
18.0,3100.0
19.0,1670.0
20.0,3090.0
21.0,330.0
22.0,1450.0
23.0,760.0
24.0,670.0
25.0,2020.0
26.0,120.0
27.0,10.0
28.0,290.0
29.0,1430.0
30.0,20.0
31.0,820.0
32.0,2870.0
33.0,790.0
34.0,1680.0
35.0,1170.0
36.0,570.0
37.0,190.0
38.0,3240.0
39.0,2450.0
40.0,5500.0
41.0,2610.0
42.0,2240.0
43.0,10.0
44.0,5330.0
45.0,770.0
46.0,7300.0
47.0,110.0
48.0,2620.0
49.0,1890.0
50.0,780.0
51.0,1040.0
52.0,710.0
53.0,110.0
54.0,3970.0
55.0,130.0
56.0,1490.0
57.0,2760.0
58.0,280.0
59.0,7830.0
60.0,120.0
61.0,110.0
62.0,1080.0
63.0,830.0
64.0,2390.0
65.0,470.0
66.0,2420.0
67.0,
68.0,2910.0
69.0,110.0
70.0,100.0
71.0,1270.0
72.0,960.0
73.0,200.0
74.0,7640.0
75.0,1200.0
76.0,4700.0
77.0,7550.0
78.0,10.0
79.0,750.0
80.0,1520.0
81.0,1300.0
82.0,2650.0
83.0,170.0
84.0,1410.0
85.0,4980.0
86.0,3210.0
87.0,1180.0
88.0,3560.0
89.0,3220.0
90.0,110.0
91.0,1650.0
92.0,2720.0
93.0,670.0
94.0,1580.0
95.0,3840.0
96.0,120.0
97.0,960.0
98.0,740.0
99.0,3480.0
100.0,990.0
