time,x,y,z
0.0000,-1.5000,0.0000,0.0000
10.0000,-1.4523,0.0296,-0.1081
20.0000,-1.4339,0.0214,-0.1275
30.0000,-1.3850,0.0190,-0.1796
40.0000,-1.4042,0.0365,-0.0952
50.0000,-1.4400,-0.0031,-0.0767
60.0000,-1.3878,-0.0124,-0.0416
70.0000,-1.3063,-0.0981,0.0061
80.0000,-1.1739,-0.0983,0.0177
90.0000,-1.0805,-0.1106,0.0640
100.0000,-1.0276,-0.0814,0.0319
110.0000,-1.0785,-0.0741,-0.0114
120.0000,-1.2458,-0.1775,-0.0217
130.0000,-1.4061,-0.2425,0.0132
140.0000,-1.3834,-0.3790,0.1830
150.0000,-1.4579,-0.5215,0.3503
160.0000,-1.4624,-0.6217,0.3772
170.0000,-1.3588,-0.6755,0.4672
180.0000,-1.1897,-0.7277,0.6077
190.0000,-1.0224,-0.7135,0.6652
200.0000,-0.8929,-0.7287,0.7958
210.0000,-0.8491,-0.7144,0.9688
220.0000,-0.6418,-0.6179,1.1297
230.0000,-0.5882,-0.6814,1.0789
240.0000,-0.5862,-0.6028,0.9926
250.0000,-0.6858,-0.5179,1.0695
260.0000,-0.6616,-0.3964,1.0392
270.0000,-0.6831,-0.3764,0.9134
280.0000,-0.6390,-0.3470,1.0404
290.0000,-0.6939,-0.3535,1.0310
300.0000,-0.7337,-0.3335,1.0749
310.0000,-0.6909,-0.2881,1.0799
320.0000,-0.7062,-0.3056,1.0494
330.0000,-0.6464,-0.3631,1.0293
340.0000,-0.7625,-0.3407,1.0941
350.0000,-0.7351,-0.4253,1.0775
360.0000,-0.7234,-0.3783,1.0816
370.0000,-0.7748,-0.5056,1.1185
380.0000,-0.8419,-0.5644,1.1249
390.0000,-0.7540,-0.5650,1.2035
400.0000,-0.6805,-0.5777,1.3755
410.0000,-0.5604,-0.6258,1.4627
420.0000,-0.4520,-0.6067,1.5864
430.0000,-0.3713,-0.4943,1.6463
440.0000,-0.3111,-0.4147,1.6770
450.0000,-0.1139,-0.3738,1.7170
460.0000,-0.0812,-0.4576,1.6889
470.0000,0.0072,-0.4915,1.6718
480.0000,0.1694,-0.2864,1.7200
490.0000,0.2225,-0.2156,1.7304
500.0000,0.4026,-0.1245,1.7026
510.0000,0.3371,-0.1485,1.7203
520.0000,0.2193,-0.2950,1.7107
530.0000,0.1146,-0.2666,1.7266
540.0000,0.1072,-0.2073,1.6980
550.0000,0.0454,-0.2435,1.6476
560.0000,-0.0021,-0.2397,1.6822
570.0000,0.0397,-0.1387,1.7249
580.0000,0.0708,-0.1584,1.6686
