Run,Time to reach center
1.0,70.0
2.0,60.0
3.0,70.0
4.0,70.0
5.0,70.0
6.0,70.0
7.0,70.0
8.0,
9.0,70.0
10.0,60.0
11.0,60.0
12.0,70.0
13.0,70.0
14.0,70.0
15.0,70.0
16.0,70.0
17.0,80.0
18.0,
19.0,70.0
20.0,
21.0,
22.0,
23.0,70.0
24.0,70.0
25.0,
26.0,80.0
27.0,70.0
28.0,
29.0,60.0
30.0,80.0
31.0,80.0
32.0,70.0
33.0,80.0
34.0,70.0
35.0,60.0
36.0,70.0
37.0,70.0
38.0,60.0
39.0,60.0
40.0,70.0
41.0,
42.0,70.0
43.0,70.0
44.0,70.0
45.0,80.0
46.0,70.0
47.0,80.0
48.0,70.0
49.0,70.0
50.0,70.0
51.0,70.0
52.0,70.0
53.0,140.0
54.0,70.0
55.0,80.0
56.0,70.0
57.0,70.0
58.0,70.0
59.0,70.0
60.0,80.0
61.0,70.0
62.0,70.0
63.0,70.0
64.0,
65.0,70.0
66.0,70.0
67.0,
68.0,80.0
69.0,70.0
70.0,70.0
71.0,60.0
72.0,70.0
73.0,80.0
74.0,
75.0,90.0
76.0,
77.0,70.0
78.0,
79.0,70.0
80.0,70.0
81.0,
82.0,70.0
83.0,70.0
84.0,70.0
85.0,
86.0,
87.0,70.0
88.0,80.0
89.0,
90.0,60.0
91.0,80.0
92.0,70.0
93.0,70.0
94.0,70.0
95.0,80.0
96.0,
97.0,80.0
98.0,70.0
99.0,70.0
100.0,70.0
